recipe,n,log_loss,brier,ece,prevalence,p_std,roc_auc,pr_auc,precision_at_threshold,recall_at_threshold,f1_at_threshold,baseline_log_loss,baseline_brier,baseline_ece,coverage,n_folds_valid
random-cell,112357,0.162941194066856,0.047411855783703785,0.0021733725389876815,0.17726532392285305,0.31435075724873585,0.9676659641188995,0.9011019210070077,0.8470581711307048,0.7669327709996485,0.8050065876152832,0.4672213331454468,0.14584232885737905,0.0,1.0,5
empirical-pattern,25486,0.18645660826262933,0.05336207071185637,0.03635443711829911,0.18672996939496195,0.32521199160383724,0.9619627040377102,0.8997248290075474,0.8101929530201343,0.8117251523429292,0.8109583289597985,0.4814464926200419,0.1518618879247185,0.0,1.0,5
time-block,5177,0.19628361665094876,0.054913076829347596,0.034374557799111076,0.17906123237396177,0.33179580315648577,0.9590064090361063,0.8863321037481656,0.769,0.8295577130528586,0.7981318111053451,0.46996699943367387,0.14699830743467984,0.0,1.0,5
country-holdout,10467,0.16999752526473844,0.05034403283171538,0.02799752367436244,0.17359319766886405,0.3274274898205884,0.9689216805952772,0.8954040061136288,0.779874213836478,0.8189323059988993,0.7989261744966443,0.4615381872318691,0.14345859939196273,2.7755575615628914e-17,1.0,5
